Production,Fuel ,CO2,NOx,PM2.5
Coal Plant (incl. Peat),Coal,937000,1729.089748,16.07605435
CCGT,Natural Gas,394000,213.956101,2.731243336
OCGT,Natural Gas,651000,213.956101,2.731243336
Hydrogen GT,Hydrogen,0,154.9844331,0
Oil,Oil,935000,4126.107821,155.7543604
Biomass,"Biomass (Straw, woodwaste)",120000,590.2364299,48.14717863
Biogas Plant,Biogas,120000,4589.081254,38.5002736
Waste incineration,Municipal waste,792000,513.1609872,77.36118366
Natural gas incl. CO2-storage,Gas CCS,51220,213.956101,1.939182768
Coal incl. CO2-storage,Coal CCS,93700,1625.344363,11.41399859
Biomass incl. CO2-storage,BECCS,12000,554.8222441,34.18449683
