Production,CO2,NOx,PM2.5,SO2,NH3
Solid Fuel Fireplace/Stove,90,0.36,1.62,0.25,0
Solid Fuel Boiler,90,0.5688,0.7236,1.854663903,0.002959326
Gas Oil Boiler,72,0.2484,0.0054,0.022917132,0
Natural Gas Boiler,54,0.1512,0.00072,0.00108,0
Wood Pellet Boiler,22,0.288,0.216,0.003055556,0
Wood Stove/Boiler (Advanced),19,0.342,0.3348,0.003055556,0
Wood Fireplace,6,0.18,2.952,0.0396,0.10512
Hydrogen Boiler,0,0.1094688,0,0,0
Hydrogen-Natural Gas Boiler,43.2,0.19656,0.00072,0.00108,0
Coal Stove,90,0.54,0.792,2.728844954,0.002712463
