Technology,CO2,NOx,PM2.5_Exhaust,PM2.5_Tyre,PM2.5_Brake,PM2.5_Road,SO2,NH3,,,,,,,,,,,
Car - Petrol - Euro 1,1,0.485,0.0022,0.004494,0.004758,0.00405,0.00033,0.0922,,,,,,,,,,,
Car - Petrol - Euro 2,1,0.255,0.0022,0.004494,0.004758,0.00405,0.00033,0.1043,,,,,,,,,,,
Car - Petrol - Euro 3,1,0.097,0.0011,0.004494,0.004758,0.00405,0.00033,0.0342,,,,,,,,,,,
Car - Petrol - Euro 4,1,0.061,0.0011,0.004494,0.004758,0.00405,0.00033,0.0342,,,,,,,,,,,
Car - Petrol - Euro 5a,1,0.061,0.0014,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Petrol - Euro 5b,1,0.061,0.0014,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Petrol - Euro 6b,1,0.061,0.0014,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Petrol - Euro 6c,1,0.061,0.0014,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Petrol - Euro 6d-Temp,1,0.061,0.0016,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Petrol - Euro 6d,1,0.061,0.0016,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Petrol - Euro 7,1,0.061,0.0016,0.004494,0.004758,0.00405,0.00033,0.0123,,,,,,,,,,,
Car - Diesel - Euro 1,1,0.69,0.0842,0.004494,0.004758,0.00405,0.000165,0.001,,,,,,,,,,,
Car - Diesel - Euro 2,1,0.716,0.0548,0.004494,0.004758,0.00405,0.000165,0.001,,,,,,,,,,,
Car - Diesel - Euro 3,1,0.773,0.0391,0.004494,0.004758,0.00405,0.000165,0.001,,,,,,,,,,,
Car - Diesel - Euro 4,1,0.58,0.0314,0.004494,0.004758,0.00405,0.000165,0.001,,,,,,,,,,,
Car - Diesel - Euro 5a,1,0.55,0.0021,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - Diesel - Euro 5b,1,0.55,0.0021,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - Diesel - Euro 6b,1,0.45,0.0015,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - Diesel - Euro 6c,1,0.45,0.0015,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - Diesel - Euro 6d-Temp,1,0.35,0.0015,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - Diesel - Euro 6d,1,0.17,0.0015,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - Diesel - Euro 7,1,0.17,0.0015,0.004494,0.004758,0.00405,0.000165,0.0019,,,,,,,,,,,
Car - PHEV (Petrol),1,0.013,0,0.004704,0.002574,0.004347,0.00017,0.0327,,,,,,,,,,,
Car - PHEV (Diesel),1,0.45,0.0015,0.004704,0.002574,0.004347,0.000219,0.0019,,,,,,,,,,,
Car - Hydrogen Fuel Cell,0,0,0,0.004494,0.004758,0.00405,0,0,,,,,,,,,,,
Car - BEV,0,0,0,0.004872,0.001326,0.004563,0,0,,,,,,,,,,,
LGV - Petrol - Euro 1,1,0.563,0.0023,0.007098,0.005772,0.00405,0.00035,0.0758,,,,,,,,,,,
LGV - Petrol - Euro 2,1,0.23,0.0023,0.007098,0.005772,0.00405,0.00035,0.091,,,,,,,,,,,
LGV - Petrol - Euro 3,1,0.129,0.0011,0.007098,0.005772,0.00405,0.00035,0.0302,,,,,,,,,,,
LGV - Petrol - Euro 4,1,0.064,0.0011,0.007098,0.005772,0.00405,0.00035,0.0302,,,,,,,,,,,
LGV - Petrol - Euro 5a,1,0.064,0.0014,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Petrol - Euro 5b,1,0.064,0.0014,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Petrol - Euro 6b,1,0.064,0.0012,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Petrol - Euro 6c,1,0.064,0.0012,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Petrol - Euro 6d-Temp,1,0.064,0.0012,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Petrol - Euro 6d,1,0.064,0.0012,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Petrol - Euro 7,1,0.064,0.0012,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - Diesel - Euro 1,1,1.22,0.117,0.007098,0.005772,0.00405,0.00024,0.0012,,,,,,,,,,,
LGV - Diesel - Euro 2,1,1.22,0.117,0.007098,0.005772,0.00405,0.00024,0.0012,,,,,,,,,,,
LGV - Diesel - Euro 3,1,1.03,0.0783,0.007098,0.005772,0.00405,0.00024,0.0012,,,,,,,,,,,
LGV - Diesel - Euro 4,1,0.831,0.0409,0.007098,0.005772,0.00405,0.00024,0.0012,,,,,,,,,,,
LGV - Diesel - Euro 5a,1,1.15,0.001,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Diesel - Euro 5b,1,1.15,0.001,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Diesel - Euro 6b,1,0.96,0.0009,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Diesel - Euro 6c,1,0.96,0.0009,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Diesel - Euro 6d-Temp,1,0.496,0.0009,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Diesel - Euro 6d,1,0.248,0.0009,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Diesel - Euro 7,1,0.248,0.0009,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - PHEV (Petrol),1,0.064,0.0012,0.007098,0.005772,0.00405,0.00035,0.0123,,,,,,,,,,,
LGV - PHEV (Diesel),1,0.248,0.0009,0.007098,0.005772,0.00405,0.00024,0.0019,,,,,,,,,,,
LGV - Hydrogen Fuel Cell,0,0,0,0.007098,0.005772,0.00405,0,0,,,,,,,,,,,
