Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuel Boiler,0,0.140022117,1.758717099,2.336690471,2.880134418,3.416629511,3.825752166,4.188819489,4.514070694,4.807194913,5.065715744,5.300649931,5.538413277,5.779665615,6.0259399,6.279566803,5.472876063,5.249767885,4.988651138,4.72873499,4.469400747,4.363844002,4.354024175,4.372993577,4.421973802,4.482467654,4.586625441,4.673465528,4.753815057,4.826969229,4.88916363
ASHP + Biofuel Boiler (Biofuel),0,0.000187867,0.00298474,0.003459603,0.004311162,0.00596985,0.010013403,0.014872346,0.020537508,0.026720139,0.0332104,0.040096456,0.04699697,0.053936852,0.060920968,0.068244822,0.076124193,0.081771123,0.089890436,0.097810833,0.105660955,0.118253253,0.130945187,0.143983826,0.157658351,0.171544898,0.186718854,0.196544055,0.206291689,0.215974441,0.22526174
Biomass Boiler,0,0.011035068,0.052273106,0.091611418,0.130585628,0.169322425,0.20568597,0.23676707,0.263411541,0.30208497,0.377799618,0.481847895,0.565847423,0.62458256,0.653833551,0.680366221,0.680443198,0.65369228,0.637382477,0.661233634,0.751443459,0.846828828,0.95143581,1.07184976,1.189767025,1.257169169,1.321871204,1.408000954,1.517378342,1.655662277,1.795216892
Biomass CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Biomass),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Biomethane),1.210751375,1.336866889,0.41543671,0.427582946,0.437874595,0.442113422,0.447991833,0.463988809,0.499121313,0.543391237,0.480561755,0.547077598,0.629580136,0.728302797,0.8392082,1.098964551,1.332731216,1.591147886,1.845707551,2.103681431,2.349677777,2.596263444,2.826890491,3.037081193,3.217915145,3.684018874,3.817089928,3.93618005,4.046783038,4.169267605,4.218530405
District Heating (Gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler,311.8659338,311.0515344,288.9013755,285.7433621,282.4287636,278.3880509,273.193715,265.3316669,254.95616,242.1476226,227.4681845,211.8617282,196.0683449,180.1215879,164.0584068,145.052872,126.9370457,110.2071331,93.82862949,77.60671089,62.11090651,47.7687253,36.09425632,26.93324617,20.20526644,15.34818748,11.41812671,7.674992878,4.08523287,0.611896881,0.080914546
Gas CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler - H2-NG Blend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas CHP - H2-NG Blend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP + Hydrogen Boiler (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen Boiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Boiler,29.94349782,29.17842562,25.39202798,23.99167281,22.52566674,21.05943797,19.4659608,17.84624715,16.19802687,14.5379814,12.86343979,11.18190264,9.503257922,7.828404629,6.157998558,4.436103545,3.989294995,3.43727326,2.961849143,2.552075912,2.142525391,1.860223268,1.604157619,1.376598608,1.160864783,0.959627097,0.765384958,0.568250378,0.367324376,0.161951153,0.008066872
Community Heating,1.451471079,1.443985425,1.242789213,1.195786454,1.14640678,1.094219691,1.035154449,0.970421873,0.901714657,0.829732726,0.7548773,0.677989344,0.601174683,0.524423489,0.447725888,0.371079097,0.353366532,0.31328003,0.269442005,0.227915811,0.189179859,0.157319205,0.131125885,0.108907205,0.08996324,0.073892769,0.059854829,0.045743594,0.031568892,0.017340597,0.003061491
District Heating (Waste Heat),4.451057597,4.964336069,4.421524011,4.579399074,4.718883944,4.861102828,4.953348512,5.160575908,5.610214479,6.183959018,6.9285866,7.837863488,8.965900145,10.315771,11.83213315,14.4067865,17.467554,20.85070259,24.1836003,27.56237697,30.78166708,34.00864086,37.03170822,39.78500396,42.14876031,43.96202994,45.48960978,46.83654014,48.06398552,49.42169994,50.00576242
ASHP,1.533640733,1.702038754,1.53041635,1.831655577,2.112278483,2.383914256,2.888592386,3.851988112,5.231614641,6.724073657,8.077073264,9.289824208,10.44920441,11.57636644,12.67781001,13.85014362,15.04221782,16.32360743,17.5002885,18.66424602,19.80052027,20.6979084,21.01817787,20.90961554,20.59965771,20.3051316,20.11376942,19.93237334,19.81640428,19.82458123,19.85548394
GSHP,0.293851158,0.37362719,0.387696144,0.514041772,0.662112604,0.76251024,0.913583329,1.031520839,1.243239268,1.753214667,2.580963304,3.531100727,4.443707966,5.32965467,6.193615207,7.117758543,8.081468937,9.17027089,10.23085107,11.27525193,12.27516112,13.16379598,13.99443367,14.78754582,15.48128272,16.11675647,16.66615943,17.25784166,17.78182819,18.08601239,18.14718281
ASHP + Biofuel Boiler (Electricity),0,0.002913983,0.054418744,0.062058328,0.077304656,0.108332851,0.167509848,0.230112361,0.293678658,0.35796343,0.420951111,0.484821149,0.549066849,0.613987912,0.679735127,0.746741938,0.832516044,0.870533403,0.950429711,1.019915136,1.075244878,1.113444629,1.149983953,1.191600871,1.23854796,1.286854688,1.346043563,1.391636675,1.435969684,1.479065419,1.519928098
ASHP + Electric Resistive (Electricity),0,0.010884359,0.113606222,0.144239775,0.190191254,0.262408541,0.387055349,0.580855411,0.941381573,1.459840324,2.141618732,2.978984346,3.841811457,4.726913808,5.636673879,6.913665697,8.238238162,9.627248048,11.057732,12.4549877,13.77145208,15.03374307,16.17872257,17.13834056,17.84094761,18.24371926,18.44930901,18.62028488,18.80524464,19.07328941,19.07703204
ASHP + Hydrogen Boiler (Electricity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP + Solar Thermal (Electricity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Resistive,5.615724204,5.596891818,5.118577431,5.006734485,4.883337323,4.745915893,4.587411758,4.43244512,4.279357668,4.127106581,3.97313071,3.816172813,3.655758962,3.491460084,3.322625139,3.14852674,3.015172433,2.934143834,2.837687647,2.738079421,2.636634451,2.544805939,2.436692949,2.314418361,2.180807097,2.039898329,1.893669878,1.750062372,1.609350692,1.472498882,1.339965909
Electric Storage,14.57325075,14.47197596,13.20658239,12.93200606,12.63773921,12.3185381,11.92106669,11.59963075,11.27503385,10.94597806,10.61080754,10.26696214,9.898601577,9.53955926,9.189582271,8.848794126,8.67891282,8.634807059,8.522457142,8.404543107,8.283650268,8.218596123,8.096876593,7.935381411,7.737834834,7.505112518,7.242943529,7.00628369,6.757926443,6.497972872,6.226338468
