Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biomass,15.35503783,13.4042,8.023583,7.755663,7.421273,7.777508,7.117213,0.292048,0.204686,0.16305,0.103201,0.100451,0.077999,0.070858,0.049241,0.038227,0.036844,0.036877,0.035847,0.035075,0.029253,0.028828,0.02317,0.019841,0.010068,0.008922,0.009129,0.009253,0.009117,0.009221
BECCS,0,0,0,0,0,0,0,0,2.150544,4.301088,11.33923,11.33923,20.52792,22.87397,25.02451,26.02406,27.3408,29.5728,29.5728,29.5728,33.12154,34.8959,34.8959,34.8959,34.8959,34.8959,34.8959,34.8959,46.13894,46.13894
Gas,47.44946204,58.6606,86.493284,66.085123,50.495147,51.140226,37.681608,35.004535,32.130838,22.099866,17.313484,16.333861,14.420168,11.606606,10.058786,8.641236,6.303653,5.628787,5.411287,4.704019,2.805839,1.942258,1.642934,1.415353,1.192455,0.08824,0.085501,0.082482,0.020322,0
Gas CCS,0,0,0,0,0,0,0,4.498081,4.126577,12.9352,11.30643,10.82422,10.9754,10.30109,10.40485,10.73569,10.37585,10.34464,10.33206,9.745078,8.600008,8.061711,7.667022,7.001695,6.882876,6.773586,6.727127,6.686965,6.134432,6.030491
Hydrogen,0,0,0,0,0,0,0,0,0.002893,0.364803,0.746261,1.158608,1.867022,2.284035,2.774116,3.574793,4.640425,4.266523,4.46462,5.314631,6.96421,6.491496,7.088231,7.333142,7.711238,8.002591,8.131419,8.245185,8.901949,9.105928
Coal,9.4020832,0.0009,0.067835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,10.89342793,11.1016,11.905929,12.092967,11.695692,11.769053,10.528185,10.82382,10.328739,9.786486,8.463206,7.915494,7.744226,7.19341,7.233772,7.250391,6.983502,6.754755,6.681921,6.288397,5.507999,4.596099,4.29335,3.634943,3.490075,3.317557,3.066839,2.915182,2.73542,2.647337
Other thermal,0.69569632,0.0053,0.005718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,50.9630364,40.814,37.05473,29.33405,17.30786,9.220837,20.98115,32.90491,32.14396,31.53128,34.94116,36.62556,39.07669,38.93472,49.99723,63.74072,67.57344,70.35302,70.81182,72.23056,78.70621,80.57355,87.50672,89.07911,89.03585,89.71817,90.61134,91.50727,91.67475,92.13387
Offshore Wind,52.98867756,52.6649,59.577701,69.169141,88.907799,98.424519,120.799019,126.743319,157.1794594,194.4995913,225.1572103,247.9233775,262.7418775,304.3824168,320.2660345,324.1799403,347.8811626,363.6360967,377.3018604,397.2192546,414.7861513,431.7241827,442.9240342,460.6848542,472.3736774,479.3367037,483.3173535,488.648827,489.1163014,489.952973
Onshore Wind,45.46170904,46.7607,48.265852,51.403601,60.774471,66.640506,70.010348,78.932141,76.09143961,70.35592366,62.4534718,61.87035364,65.14968275,61.41003121,68.001944,73.89186642,73.86824053,81.98550188,86.76585017,87.05359442,84.16016059,87.31948576,88.65969155,90.36173583,92.96334304,97.44287291,102.1477388,107.194078,109.1795027,112.463344
Solar,13.79488566,14.5764,15.566194,17.064516,19.38829,21.504209,23.981352,26.510771,29.30306,32.20741,35.371238,38.564658,41.605774,46.157662,48.649752,50.889932,52.609142,54.328342,56.151752,58.589786,60.986266,63.382736,65.779206,67.967296,70.155386,72.4371,75.164111,77.352201,79.540281,81.728361
Hydro,3.89032559,3.8921,3.891954,3.892669,3.892523,3.891787,3.891969,3.894786,3.893746,3.895634,3.896383,3.895831,3.8977,3.897498,3.899311,3.899294,3.900027,3.901614,3.901851,3.902103,3.902219,3.903235,3.903887,3.904518,3.905555,3.905738,3.905499,3.90592,3.9059,3.906662
Marine,0.18972638,0.1976,0.225995,0.261553,0.315246,0.452144,0.868172,0.939288,1.134856,1.205971,1.365982,1.40154,1.525993,1.597109,1.632667,1.668225,1.792678,1.828235,10.753273,10.788831,19.713872,19.74943,19.784988,19.873878,19.873878,19.873878,19.998328,19.998328,19.998328,19.998328
Other Renewables,10.01933279,11.4549,11.508549,11.43232,11.351831,11.541168,11.411059,11.680305,11.679247,11.571937,11.364493,11.349177,11.385946,11.372746,11.544953,11.48684,11.311348,11.335885,11.326677,11.174449,11.043923,10.962885,10.89404,10.855711,10.854646,10.869683,10.886872,10.926549,10.836594,10.856781
Interconnection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
