Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Iron and steel - Electricity,2.197677834,2.141765258,2.114313883,2.114101288,2.097704872,2.083274963,2.081760221,2.10256799,2.135892311,2.179235188,2.23350015,2.312612194,2.424623368,2.554253381,2.68914513,2.825392173,2.953161977,3.061612179,3.153028179,3.231635309,3.311969776,3.381382157,3.441227747,3.492117759,3.536922228,3.577660812,3.611968386,3.640748481,3.658101576,3.667774665
Iron and steel - Natural Gas,6.258542276,6.15828639,5.99086695,5.979044476,5.891995123,5.818447144,5.709198996,5.58281213,5.399206465,5.181050468,4.923379512,4.626799545,4.282371309,3.884323891,3.43410049,2.980167958,2.557793385,2.182045291,1.86517076,1.594920595,1.367048807,1.177927829,1.010100879,0.86245247,0.744871181,0.633223567,0.540712879,0.453930719,0.385214057,0.345125172
Iron and steel - Hydrogen,0,0,0,0,0,0,0.01178926,0.023357709,0.042219361,0.065245582,0.097574698,0.139588713,0.190877369,0.245426496,0.298509348,0.345825011,0.385079923,0.416053318,0.440006495,0.458254306,0.472092492,0.482489976,0.490709475,0.498612754,0.504039785,0.509339233,0.513712017,0.518120958,0.522541501,0.527200502
Iron and steel - Oil/Petroleum,0.067766641,0.066242788,0.064718935,0.063195082,0.061671229,0.060147376,0.058623523,0.05709967,0.055575817,0.054051964,0.052528111,0.051004258,0.049480405,0.047956552,0.046432699,0.043337186,0.040241673,0.037146159,0.034050646,0.030955133,0.02785962,0.024764106,0.021668593,0.01857308,0.015477566,0.012382053,0.00928654,0.006191027,0.003095513,0
Iron and steel - Bioenergy/Other,0.244741318,0.237501144,0.23026097,0.223020796,0.215780623,0.208540449,0.201300275,0.194060101,0.186819927,0.179579754,0.17233958,0.165099406,0.157859232,0.150619058,0.143378884,0.136621389,0.129863893,0.123106398,0.116348902,0.109591407,0.102833911,0.096076416,0.08931892,0.082561424,0.075803929,0.069046433,0.062288938,0.055531442,0.048773947,0.042016451
Iron and steel - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron and steel - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-ferrous metals - Electricity,3.875855231,3.777247033,3.728833407,3.728458471,3.699541523,3.674092734,3.671421314,3.708118186,3.766889422,3.843329523,3.939031967,4.078555069,4.276099535,4.504716832,4.742613797,4.98290098,5.208237586,5.399501872,5.560724402,5.699357031,5.841036016,5.963452657,6.068997174,6.158747507,6.237765293,6.309612426,6.370117742,6.420874719,6.451478879,6.468538473
Non-ferrous metals - Natural Gas,3.656718354,3.598141209,3.500321987,3.493414394,3.442553514,3.399581169,3.335750057,3.261905198,3.154628747,3.027165353,2.876614303,2.703329637,2.502088358,2.269518657,2.006463764,1.741241713,1.494458231,1.274917499,1.089775198,0.931874413,0.798734313,0.688235394,0.590178074,0.503910597,0.435210629,0.369977566,0.315925757,0.265220992,0.22507147,0.201648482
Non-ferrous metals - Hydrogen,0,0,0,0,0,0,0.006888186,0.013647357,0.024667775,0.038121452,0.05701059,0.081558387,0.111525136,0.143396902,0.174411958,0.202057382,0.224993099,0.243090122,0.257085397,0.267747162,0.275832487,0.281907491,0.28670995,0.291327649,0.294498535,0.297594877,0.300149792,0.302725832,0.305308651,0.308030795
