Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuel boiler,0,0.140022117,0.58610136,1.082712805,1.550092042,1.978616691,2.383307088,2.737178038,3.049344111,3.330840431,3.58974925,3.808289473,4.026974736,4.245904192,4.464583258,4.68626722,4.848803404,4.7924941,4.639473531,4.506531014,4.401318928,4.344281423,4.412589003,4.541279224,4.718549361,4.938871448,5.226370133,5.446486642,5.676603545,5.916788057,6.150917861
ASHP + Biofuel Boiler (Biofuel),0,0.000187867,0.001864977,0.003844926,0.006383558,0.00945309,0.012729875,0.016788539,0.021246927,0.026179375,0.031457287,0.036315914,0.041275815,0.046300585,0.051393769,0.057389515,0.063472648,0.068427168,0.072946359,0.076846213,0.080095519,0.086661397,0.091772641,0.095715974,0.098555887,0.100516886,0.102696198,0.104864875,0.106925375,0.10886035,0.109612908
Biomass Boiler,0,0.011035068,0.034016077,0.060432131,0.086352797,0.112426786,0.138411612,0.164758183,0.1912679,0.218376056,0.249566825,0.27766637,0.296605606,0.311029683,0.324097522,0.342644978,0.350007064,0.33811374,0.344141114,0.368982176,0.418288386,0.471907642,0.525258068,0.576849505,0.625723065,0.671411067,0.725014881,0.788487188,0.857451685,0.929205788,0.996236027
Biomass CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Biomass),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Biomethane),1.210751375,1.336866889,0.145072428,0.149796284,0.154047079,0.106168088,0.107094691,0.109059551,0.112086378,0.115334216,0.079667155,0.082549614,0.087277164,0.094057375,0.1029274,0.122238449,0.154056542,0.193270826,0.233026926,0.273133848,0.312750147,0.349698254,0.387212474,0.421668334,0.453435721,0.481053012,0.507150647,0.530506211,0.551441467,0.569963514,0.577577559
District Heating (Gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler,311.8659338,311.0515344,307.9446418,305.049195,301.8894678,298.5211788,294.3227827,289.5972382,284.7252356,279.7487726,274.4261815,261.5319521,248.1593822,234.6970222,221.1244889,202.927984,184.1096341,166.0457216,148.1517679,130.5220219,113.1007462,96.50950458,80.44528649,64.52733578,48.71357057,33.24562819,25.34901741,17.93067699,10.60208344,3.383630258,0.789126411
Gas CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler - H2-NG Blend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas CHP - H2-NG Blend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP + Hydrogen Boiler (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0.004878781,0.01045509,0.017093806,0.02511977,0.040403387,0.279584439,0.52707697,0.783355117,1.046452048,1.315655572,1.589888427,1.869472909,2.146305073,2.406453027,2.639318436,2.845579045,3.041028549,3.231074155,3.41515511,3.587145536
Hydrogen Boiler,0,0,0,0,0,0,0,0,0,0,0,8.675100029,17.99907553,27.19099072,36.23554285,48.82356637,57.58598733,68.24008349,78.47761747,88.26196824,97.69784381,106.4049887,114.0476906,121.1860267,127.8927005,133.9954957,131.0261277,127.8819494,124.7749842,121.7222638,115.0237871
Oil Boiler,29.94349782,29.17842562,28.01428315,26.64591781,25.2104871,23.71103946,22.15768799,20.51338727,18.81711446,17.09164862,15.3527575,13.57088335,11.78988757,10.00939943,8.229317677,6.347758138,5.064466837,4.284643388,3.656775545,3.095973062,2.599187517,2.1563058,1.804373328,1.504412953,1.233645602,0.976303536,0.761944492,0.546707091,0.330962036,0.114810604,0.000136955
Community Heating,1.451471079,1.443985425,1.423936158,1.386636798,1.330669399,1.272651102,1.212609831,1.14736841,1.076909707,1.003464206,0.927405907,0.84551699,0.763688084,0.681912288,0.600180738,0.518494167,0.443257554,0.366180626,0.306715246,0.265917908,0.227171466,0.190447998,0.15892468,0.132618645,0.109299407,0.088592968,0.073717146,0.058781313,0.043792371,0.028759182,0.013681015
ASHP,1.533640733,1.702038754,1.611676429,1.774235138,1.947132539,2.122895354,2.292831828,2.480200855,2.661397945,2.838969814,3.015291482,3.173176746,3.273589227,3.38182088,3.501491481,3.675060397,3.952071503,4.185865932,4.423796219,4.665824631,4.918174027,5.233192114,5.571120144,6.017756158,6.625035849,7.411988412,8.310520807,9.255694858,10.20932375,11.1599959,12.05448163
GSHP,0.293851158,0.37362719,0.370629805,0.436511842,0.50519808,0.578375498,0.686806969,0.828597217,0.978816329,1.143026608,1.321036218,1.475894745,1.573022736,1.661509557,1.744002582,1.833015662,1.926663587,2.023852372,2.121315878,2.219440255,2.317367198,2.360793176,2.396932469,2.442725487,2.504144011,2.589304241,2.681677327,2.74911662,2.830125843,2.919749524,3.014190179
ASHP + Biofuel Boiler (Electricity),0,0.002913983,0.034591739,0.071691238,0.118797216,0.173224781,0.228923134,0.291793891,0.35130666,0.411792767,0.473237799,0.527661182,0.582874379,0.638565395,0.694796591,0.755602813,0.818757424,0.864148073,0.901201308,0.926958863,0.942711362,0.96385216,0.973317084,0.98048788,0.983960503,0.984307043,0.992627611,1.000900372,1.009339802,1.017804208,1.018522089
