Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biomass,15.35503783,14.4619,9.468687,8.96116,8.621124,8.943455,8.742928,0.31914,0.332803,0.182224,0.164505,0.111711,0.100539,0.072073,0.048048,0.043289,0.05041,0.046904,0.041945,0.049116,0.04503,0.044556,0.045577,0.044198,0.045705,0.042783,0.049408,0.061493,0.060229,0.056259
BECCS,0,0,0,0,0,0,0,0,0,2.150544,2.150544,6.647136,6.647136,15.83582,20.52792,24.0599,24.0599,25.70035,27.79843,27.79843,27.79843,27.79843,29.5728,29.5728,29.5728,29.5728,29.5728,29.5728,29.5728,39.1008
Gas,47.44946204,65.8377,107.2570349,89.337404,60.096281,55.514691,47.506108,40.992161,39.358242,21.575066,18.992233,15.4874,14.110675,12.14779,7.879474,5.929404,5.160724,4.003098,3.116263,2.474015,1.953603,0.95604,0.057092,0.051283,0.030062,0.025428,0.022308,0.019258,0.016294,0
Gas CCS,0,0,0,0,0,0,0,0,5.143442,13.15548,12.00826,10.59552,9.94481,9.188417,10.00769,9.599627,9.722443,11.2183,12.47249,14.0119,16.81687,17.93565,18.95237,21.46897,22.29354,22.08444,25.45758,24.01352,25.39179,23.82283
Hydrogen,0,0,0,0,0,0,0,0,0.017431,1.848594,2.290125,2.20971,2.939591,3.031892,3.971618,5.774012,5.178572,5.051659,5.132347,4.076486,4.229645,2.960428,2.987332,3.111441,3.066182,3.06594,2.948101,2.814452,2.914379,2.995936
Coal,9.4020832,0.0023,0.117967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,10.89342793,11.4771,12.159818,12.5941,12.505334,12.26795,12.448008,12.167035,12.85605,10.500296,9.513467,8.23221,7.803961,7.151496,6.279298,5.890936,5.711868,5.385641,4.80278,4.321192,3.735596,3.511663,3.407952,3.376233,3.293952,3.134769,3.016256,2.9141,2.837645,2.700292
Other thermal,0.69569632,0.0042,0.010038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,50.9630364,40.819,33.29932,25.44095,25.42337,17.34672,21.62472,33.36998,33.53871,32.22581,31.89443,33.30013,34.89845,36.13803,38.01277,51.26029,65.11112,67.83082,74.93152,81.51288,82.3142,78.77539,79.77214,82.01824,83.45168,84.23129,85.19494,85.82583,87.17363,87.05643
Offshore Wind,52.98867756,52.6649,52.665361,59.577701,69.169141,88.687061,97.715401,120.089881,126.034181,175.813299,194.4518409,224.8145941,243.6394645,253.0050229,284.341566,296.181384,305.71094,323.97216,336.31958,345.838888,355.750365,376.381413,390.590715,401.80045,412.154168,423.549991,431.068221,435.689801,436.122485,435.981304
Onshore Wind,45.46170904,46.69,47.537949,49.755241,57.446778,63.62883757,68.646632,71.93107971,77.71359128,69.64541617,67.65036735,56.41655535,53.3169201,50.95101386,48.629425,48.827056,53.75569,54.378692,56.160052,56.037065,59.730652,64.246756,68.460019,77.63674,84.686077,87.676248,91.55251,94.097746,98.337439,99.427135
Solar,13.79488566,14.3784,15.107739,16.202277,17.406265,18.552397,20.329009,22.348308,24.018839,25.997119,28.233956,30.760983,33.001644,35.614781,37.702103,39.264508,40.350439,41.576764,42.735222,44.498309,46.113329,47.891203,49.506223,50.912843,52.228988,53.635618,55.042238,56.448868,57.855488,59.262118
Hydro,3.89032559,3.8908,3.89137,3.891506,3.891487,3.890403,3.890463,3.890748,3.890593,3.890205,3.891234,3.890471,3.890292,3.891607,3.89128,3.892437,3.892464,3.892249,3.892841,3.892864,3.892797,3.892436,3.892727,3.892518,3.892936,3.892973,3.89335,3.893581,3.893903,3.893883
Marine,0.18972638,0.2054,0.205372,0.205372,0.249108,0.266887,0.338003,0.448233,0.50157,0.50157,0.832258,0.917597,0.970934,0.970934,0.970934,0.970934,1.059829,1.059829,1.059829,1.059829,1.059829,10.482678,10.482678,11.524528,20.414008,20.414008,20.414008,29.303488,29.392378,29.392378
Other Renewables,10.01933279,11.3095,11.192901,10.974306,10.660254,10.454402,10.280858,10.023132,10.036384,9.467458,9.204648,8.781637,8.469117,8.258775,8.120888,7.808325,7.492356,7.32149,7.257192,7.179425,7.112508,7.030131,6.937531,6.918645,6.859067,6.801618,6.778744,6.725539,6.706565,6.654159
Interconnection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
