Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Iron and steel - Electricity,2.199644341,2.15218243,2.135679716,2.141632386,2.131640404,2.124943651,2.117051049,2.112639695,2.111443846,2.115164265,2.127760539,2.146096888,2.168791441,2.190290146,2.216439374,2.238602439,2.265442601,2.295391971,2.325872829,2.352553545,2.38524008,2.426669598,2.463209424,2.502991328,2.543490742,2.56392647,2.581890777,2.599217297,2.612690528,2.622177595
Iron and steel - Natural Gas,6.258542276,6.176092397,6.032958299,6.042668584,5.996613249,5.933908518,5.869592295,5.763439145,5.617314239,5.418069534,5.15062279,4.844884102,4.488121499,4.11690739,3.708917797,3.302732296,2.923981804,2.565612391,2.240927621,1.930506955,1.645698756,1.392016888,1.162461652,0.962803786,0.775837891,0.614609588,0.49676127,0.384082005,0.308065371,0.258502026
Iron and steel - Hydrogen,0,0,0,0,0,0.023201141,0.053199088,0.121651289,0.227515553,0.367296912,0.558732014,0.78830345,1.075144712,1.380218378,1.690190136,2.000133915,2.292101325,2.566363599,2.81329275,3.033468609,3.234153339,3.410631091,3.569500082,3.713099742,3.850466814,3.963783279,4.040881373,4.1127496,4.146610987,4.163417881
Iron and steel - Oil/Petroleum,0.067766641,0.066302791,0.064838941,0.063375091,0.061911241,0.06044739,0.05898354,0.05751969,0.05605584,0.05459199,0.05312814,0.05166429,0.05020044,0.048736589,0.047272739,0.044121223,0.040969707,0.037818191,0.034666675,0.03151516,0.028363644,0.025212128,0.022060612,0.018909096,0.01575758,0.012606064,0.009454548,0.006303032,0.003151516,0
Iron and steel - Bioenergy/Other,0.244741318,0.237107341,0.229473365,0.221839388,0.214205412,0.206571435,0.198937459,0.191303482,0.183669506,0.176035529,0.168401553,0.160767576,0.1531336,0.145499623,0.137865647,0.130740602,0.123615557,0.116490513,0.109365468,0.102240423,0.095115379,0.087990334,0.080865289,0.073740244,0.0666152,0.059490155,0.05236511,0.045240065,0.038115021,0.030989976
Iron and steel - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron and steel - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-ferrous metals - Electricity,3.87932339,3.795618902,3.766514486,3.777012698,3.7593907,3.747580212,3.733660709,3.725880785,3.723771769,3.730333151,3.752548116,3.784886356,3.824910786,3.862826201,3.908943343,3.948030433,3.995366118,4.048185243,4.101941709,4.148996192,4.206642619,4.279708295,4.34415044,4.414310361,4.485735691,4.521776425,4.553458527,4.58401582,4.607777396,4.624508921
Non-ferrous metals - Natural Gas,3.656718354,3.608544838,3.524914967,3.530588457,3.503679413,3.467042521,3.429464072,3.367441295,3.282063965,3.165649992,3.00938718,2.830751289,2.622303331,2.4054117,2.167033022,1.929708432,1.708413471,1.499026691,1.309321053,1.127949593,0.961542893,0.813322572,0.679198873,0.5625435,0.453303746,0.359101858,0.290245871,0.224410039,0.179995316,0.151036625
Non-ferrous metals - Hydrogen,0,0,0,0,0,0.013555878,0.03108297,0.071077974,0.132931961,0.214602906,0.326453912,0.460587077,0.628181648,0.806428982,0.987538155,1.16863098,1.339220639,1.499465604,1.643740472,1.772384023,1.889639369,1.992751149,2.085574546,2.169476434,2.249736767,2.3159449,2.360991495,2.402982401,2.42276681,2.432586681
Non-ferrous metals - Oil/Petroleum,0.053579722,0.052422329,0.051264935,0.050107541,0.048950148,0.047792754,0.04663536,0.045477966,0.044320573,0.043163179,0.042005785,0.040848392,0.039690998,0.038533604,0.037376211,0.034884463,0.032392716,0.029900968,0.027409221,0.024917474,0.022425726,0.019933979,0.017442232,0.014950484,0.012458737,0.009966989,0.007475242,0.004983495,0.002491747,0
