Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuel Boiler,0,9.15903E-05,0.065767292,0.159611406,0.247686358,0.334675435,0.428961051,0.510668818,0.579825568,0.646780695,0.713577936,0.774891365,0.841240541,0.914420678,0.99851311,1.090012157,1.201764132,1.24221753,1.25496769,1.272070053,1.288032673,1.30074859,1.326255786,1.364995834,1.406276226,1.447168152,1.495236156,1.537856935,1.572353291,1.595639608,1.611451499
ASHP + Biofuel Boiler (Biofuel),0,0.007738965,0.012684002,0.019118087,0.026066903,0.033347006,0.040650856,0.047330574,0.053428662,0.059346494,0.065190669,0.070471615,0.075866089,0.081353735,0.087004991,0.092734169,0.092738354,0.092962638,0.092857091,0.092157687,0.091022094,0.090506908,0.090649409,0.09152105,0.092631997,0.09387095,0.095847552,0.097653271,0.09928492,0.100716412,0.102040363
Biomass Boiler,3.170416637,2.959055528,2.747547007,2.536197237,2.324847468,2.113497698,1.909916335,1.889269729,1.878954853,1.858832123,1.824775561,1.752803402,1.686622019,1.62574046,1.582177739,1.538373331,1.601774977,1.761243186,1.935013007,2.11070114,2.281058066,2.453528426,2.445569591,2.430535051,2.423318793,2.427798365,2.46637382,2.495382208,2.514656441,2.517175693,2.517284115
Biomass CHP,0,5.42174E-08,2.36216E-06,8.29185E-06,1.49342E-05,2.29565E-05,3.30478E-05,0.000605853,0.246447173,0.595330211,0.917079685,1.16891025,1.44220604,1.672641521,1.738291628,1.738788584,1.756385023,1.765107218,1.766776948,1.777453459,1.818148164,2.11716255,2.421394589,2.480034986,2.438407856,2.416166882,2.459480282,2.478139862,2.531300007,2.745110431,3.025824578
District Heating (Biomass),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Biomethane),0,0.106752199,0.020313856,0.030273413,0.040570343,0.029026787,0.035757401,0.046410988,0.062474827,0.080066349,0.088244732,0.098182383,0.108023984,0.117775074,0.127560537,0.137214776,0.143666338,0.150658052,0.158152311,0.165504095,0.1709407,0.177904547,0.180894008,0.178671489,0.174886475,0.171051139,0.172999785,0.175459283,0.178365417,0.181472721,0.184760563
District Heating (Gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler,80.57241895,81.34022465,82.04571557,82.58424342,83.03157021,83.41133866,83.63732743,82.99207139,81.51909823,79.28643635,76.50341699,72.603775,68.67531117,64.72494861,60.75613776,56.70894732,51.67944534,46.10939581,40.49277395,34.85724326,29.21442462,23.6782941,18.99515468,15.12566765,12.00699203,9.433627765,7.96468363,6.524472757,5.1054945,3.705822925,2.384629959
Gas CHP,8.973548341,8.375311785,7.776657996,7.178453534,6.580249073,5.982044612,5.383840151,4.78563569,4.187431228,3.589226767,2.991022306,2.392817845,1.794613384,1.196408922,0.598204461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler - H2-NG Blend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas CHP - H2-NG Blend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP + Hydrogen Boiler (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0.072311924,0.143137997,0.213002747,0.282807429,0.352703275,0.440323989,0.530381754,0.622585528,0.715480972,0.808889369,0.906492689,1.002803424,1.095960701,1.186538379,1.275093011,1.295279669,1.32134612,1.351057904,1.382895594,1.41570337
Hydrogen Boiler,0,0,0,0,0,0,0,0,0,0,0,1.289908505,2.532545381,3.731811633,4.910650086,6.057499234,7.538932826,9.104742624,10.74076071,12.40673024,14.09457385,15.87285407,17.62364758,19.31153664,20.94859091,22.5424911,22.89225077,23.37976775,23.95726843,24.5921879,25.27745252
Oil Boiler,30.28895726,28.42774189,26.97788768,25.30432489,23.62876569,21.94692914,20.25431854,18.49877561,16.69546244,14.8786217,13.05549342,11.1925294,9.329991929,7.469520486,5.619966386,3.781086931,3.428759795,3.076831395,2.737237205,2.394804458,2.057908454,1.731482635,1.467836463,1.25196052,1.04961215,0.853551327,0.697326229,0.540674594,0.381956928,0.212321919,0.032012264
Community Heating,0.190777176,0.32218922,1.136376399,1.470132935,1.800766365,2.120957585,2.43584892,2.694077696,2.907441017,3.106631621,3.294413582,3.44727017,3.599944632,3.75483114,3.92108946,4.088378675,3.909990754,3.742753091,3.583790053,3.425444305,3.272835096,3.134570143,3.055075206,3.020783824,2.998483292,2.981283719,2.994682465,3.006541955,3.011361905,3.00377598,2.994562931
ASHP,0.008725879,0.313802813,0.580949074,0.865191184,1.150182692,1.437235475,1.728968667,2.07890668,2.439188678,2.845325553,3.311389115,3.716638584,4.135215519,4.563846226,5.002408296,5.456187704,5.71101909,6.066749208,6.433534753,6.806159657,7.182343674,7.568498839,7.870120003,8.147269658,8.367482853,8.518711845,8.743925501,8.96716268,9.193862659,9.421220353,9.639204469
GSHP,0.021953779,0.217019712,0.415465665,0.588634521,0.762260689,0.938804399,1.122391574,1.355651406,1.625956479,1.942606884,2.299732301,2.587976502,2.884390512,3.187086503,3.497246196,3.819509886,4.221144805,4.669976966,5.131238309,5.599106037,6.072102388,6.380786756,6.677473876,6.96108933,7.235424606,7.499586828,7.767521186,7.990046662,8.187133236,8.347203339,8.472384955
ASHP + Biofuel Boiler (Electricity),0,0.04823508,0.075757134,0.112101908,0.14975752,0.187515474,0.223912633,0.255481173,0.283045831,0.308537628,0.333037589,0.354840489,0.377113177,0.399764443,0.42307437,0.446708435,0.437996268,0.432276006,0.425983995,0.417685806,0.408486394,0.403464647,0.403035744,0.406773203,0.412539534,0.419076914,0.428653262,0.437695072,0.445995322,0.453550644,0.460715342
ASHP + Electric Resistive (Electricity),0,0.14783372,0.147828186,0.235171228,0.330690899,0.429521851,0.52813815,0.62570755,0.734545782,0.891560993,1.077784898,1.223741767,1.372036076,1.521719365,1.675709221,1.839040223,2.0137709,2.188134054,2.358229767,2.517427854,2.66947799,2.832797269,2.975535228,3.099819875,3.172390351,3.214067926,3.3050748,3.402337583,3.502877638,3.60214014,3.692336588
ASHP + Hydrogen Boiler (Electricity),0,0,0,0,0,0,0,0,0,0,0,0.302099449,0.597996873,0.889818561,1.181131587,1.47241856,1.852045449,2.247551387,2.654473675,3.064355129,3.475776693,3.906826923,4.330034555,4.737275112,5.131697442,5.515235421,5.606517267,5.725957084,5.860619254,6.004741061,6.15350807
ASHP + Solar Thermal (Electricity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Resistive,14.41433059,14.41478266,15.61684727,15.07137311,14.42583929,13.70215841,12.92715623,12.14679295,11.36164662,10.57359417,9.78315388,8.823473506,7.871896621,6.930977696,5.985170288,5.03330643,4.361757919,3.796871278,3.311453988,2.910673192,2.576031678,2.285904318,2.000088861,1.71831396,1.438827138,1.161155613,1.046619231,0.920682213,0.777241249,0.63469977,0.49817979
Electric Storage,0,0,0,1.98768E-08,8.6599E-05,0.000742587,0.005790881,0.028001867,0.055752703,0.088495143,0.124090618,0.155430094,0.186888896,0.218503726,0.251463235,0.286775479,0.323598586,0.358743827,0.393853132,0.429391868,0.463746009,0.498318666,0.515408096,0.527771866,0.53493593,0.539763379,0.549855584,0.558639712,0.566097488,0.571873921,0.575013522
