Year,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Car - Petrol - Euro 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 4,9691749135,9772101305,9865532064,9834637217,9769680369,9677323058,9535711543,9326406523,9042362619,8666357688,8193254356,7610885424,6924643328,6155685360,5230361639,4257975712,3302561529,2430156854,1701344799,1119782431,692452606,377990079.9,172904822.9,29767896.91,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 5a,3876699654,3908840522,3946212826,3933854887,3907872148,3870929223,3814284617,3730562609,3616945048,3466543075,3277301742,3044354169,2769857331,2462274144,2092144655,1703190285,1321024612,972062741.7,680537919.8,447912972.3,276981042.4,151196031.9,69161929.16,11907158.76,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 5b,5815049481,5863260783,5919319238,5900782330,5861808222,5806393835,5721426926,5595843914,5425417572,5199814613,4915952614,4566531254,4154785997,3693411216,3138216983,2554785427,1981536918,1458094112,1020806880,671869458.4,415471563.6,226794047.9,103742893.7,17860738.14,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 6b,58150494809,58632607829,59193192385,59007823305,58618082215,58063938350,57214269256,55958439138,54254175716,51998146128,49159526137,45665312542,41547859967,36934112163,31382169831,25547854269,19815369176,14580941125,10208068796,6718694584,4154715636,2267940479,1037428937,178607381.4,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 6c,77533993079,78176810439,78924256513,78677097740,78157442954,77418584467,76285692342,74611252184,72338900955,69330861505,65546034850,60887083390,55397146623,49245482884,41842893109,34063805692,26420492235,19441254833,13610758395,8958259446,5539620848,3023920639,1383238583,238143175.3,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 6d-Temp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car - Petrol - Euro 6d,38766996540,39088405219,39462128256,39338548870,39078721477,38709292234,38142846171,37305626092,36169450478,34665430752,32773017425,30443541695,27698573312,24622741442,20921446554,17031902846,13210246118,9720627417,6805379198,4479129723,2769810424,1511960319,691619291.6,119071587.6,0,0,0,0,0,0,0,0,0,0
