Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuel Boiler,0,9.16E-05,0.309214166,0.447650419,0.577639332,0.704986431,0.827106843,0.933257895,1.030896032,1.123809619,1.214114816,1.301999566,1.39479438,1.491109416,1.592755762,1.695142971,1.665786871,1.644609191,1.631223552,1.621292041,1.610058548,1.610000734,1.620403257,1.640386903,1.666768229,1.695178819,1.724805911,1.749257564,1.768393766,1.781609938,1.794334594
ASHP + Biofuel Boiler (Biofuel),0,0.007738965,0.01262383,0.019646523,0.02687168,0.034196513,0.041363426,0.047909666,0.053982185,0.059850407,0.065672773,0.071501175,0.077317033,0.08325611,0.089466196,0.09571002,0.097188562,0.097778598,0.097907525,0.097707705,0.097198818,0.098319431,0.099878243,0.10186073,0.104036285,0.106205785,0.108293454,0.110441596,0.112371231,0.113985765,0.115553857
Biomass Boiler,3.170416637,2.959055528,2.681231667,2.474983078,2.268734488,2.062485898,1.894509314,1.890358566,1.885586827,1.85429348,1.809085109,1.760152319,1.712168391,1.677431211,1.662036261,1.66696411,1.822272458,2.044532913,2.254763457,2.46899844,2.678150519,2.874818188,2.916224024,2.956448291,3.017159902,3.103617928,3.188508343,3.267487969,3.358081613,3.416513234,3.462523179
Biomass CHP,0,5.42E-08,4.71E-08,1.04E-07,1.82E-07,3.64E-07,6.83E-07,0.000162463,0.206794532,0.532280621,0.848018981,1.139697851,1.459226764,1.703811517,1.73269055,1.735118067,1.737798618,1.740178117,1.746371454,1.763412422,1.824672417,2.059601547,2.328741646,2.427030976,2.422625803,2.415603261,2.447065541,2.440822947,2.510743387,2.794625899,3.107645731
District Heating (Biomass),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Biomethane),0,0.106752199,0.06257088,0.090857633,0.121062018,0.16473337,0.225538675,0.295739795,0.367474648,0.43873384,0.462529127,0.523387434,0.583652202,0.643628346,0.707239904,0.826749965,0.886801702,0.958475644,1.030097803,1.096526644,1.147147898,1.185187502,1.204184974,1.22947587,1.26234783,1.42249815,1.465728243,1.51007602,1.551272582,1.58562114,1.614224391
District Heating (Gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Boiler,80.57241895,81.34022465,80.03800606,79.80183429,78.10235596,75.76381579,72.99517228,69.0983008,65.09982258,61.05072724,56.97320848,52.87492597,48.76135289,44.61732636,40.42794961,36.14727966,30.89053701,25.53655674,20.81537928,17.4114032,14.58309426,12.14415782,10.81781823,9.588703496,8.408011618,7.250067223,6.110408911,4.985421045,3.890636481,2.841282247,1.883996878
Gas CHP,8.973548341,8.375311785,7.597040525,7.012652793,6.42826506,5.843877327,5.259489594,4.675101862,4.090714129,3.506326396,2.921938664,2.337550931,1.753163198,1.168775465,0.584387733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District Heating (Hydrogen),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
